Dusp4_A_8_mpnn_0	Dusp4_A_8_mpnn_0
Dusp4_A_8_mpnn_1	Dusp4_A_8_mpnn_1
Dusp4_A_8_mpnn_2	Dusp4_A_8_mpnn_2
Dusp4_A_8_mpnn_3	Dusp4_A_8_mpnn_3
Dusp4_A_8_mpnn_4	Dusp4_A_8_mpnn_4
Dusp4_A_8_mpnn_7	Dusp4_A_8_mpnn_7
Dusp4_A_8_mpnn_9	Dusp4_A_8_mpnn_9
Dusp4_A_8_mpnn_10	Dusp4_A_8_mpnn_10
Dusp4_A_8_mpnn_11	Dusp4_A_8_mpnn_11
Dusp4_A_8_mpnn_12	Dusp4_A_8_mpnn_12
Dusp4_A_8_mpnn_13	Dusp4_A_8_mpnn_13
Dusp4_A_8_mpnn_14	Dusp4_A_8_mpnn_14
Dusp4_A_8_mpnn_15	Dusp4_A_8_mpnn_15
Dusp4_A_8_mpnn_15	Dusp4_A_8_mpnn_8
Dusp4_A_8_mpnn_16	Dusp4_A_8_mpnn_16
Dusp4_A_8_mpnn_17	Dusp4_A_8_mpnn_17
Dusp4_A_8_mpnn_18	Dusp4_A_8_mpnn_18
Dusp4_A_8_mpnn_19	Dusp4_A_8_mpnn_19
